book_name,price,year,pub,authors,rating,rate_people,desc,img
太白金星有点烦, 45.00, 2023-6 ,湖南文艺出版社,马伯庸 ,9.0,80431,太白金星李长庚最近有点烦。 天庭和西天联合推出了“西天取经”的重大项目，他受命策划九九八十一难，确保唐僧能安全走完流程，平稳取经成佛。老神仙本以为一切尽在掌...,https://img9.doubanio.com/view/subject/s/public/s34544956.jpg
长安的荔枝, 45.00元, 2022-10 ,湖南文艺出版社,马伯庸 ,8.5,178147,大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢...,https://img3.doubanio.com/view/subject/s/public/s34327482.jpg
额尔古纳河右岸, 32.00元, 2019-6-1 ,人民文学出版社,迟子建 ,9.1,42931,《额尔古纳河右岸》是一部描写鄂温克人生存现状及百年沧桑的长篇小说，展示了弱小民族在严酷的自然环境和现代文明的挤压下的顽强生命力和不屈不挠的民族精神，以及丰富...,https://img1.doubanio.com/view/subject/s/public/s34734949.jpg
繁花, 48.00元, 2013-3 ,上海文艺出版社,金宇澄 ,8.6,41511,这是一部地域小说，人物的行走，可找到“有形”地图的对应。这也是一部记忆小说，六十年代的少年旧梦，辐射广泛，处处人间烟火的斑斓记忆，九十年代的声色犬马，是一场...,https://img3.doubanio.com/view/subject/s/public/s26037307.jpg
明亮的夜晚, 52, 2023-8 ,台海出版社,[韩]崔恩荣  叶蕾 ,9.0,19427,我有一个愿望，想写一写妈妈或祖母，很久以前生活在这片土地上的女性的故事。 一部女性版的《活着》，四代女性的友谊、抗争、泪水与欢笑 韩国最大网络书店22万读者...,https://img3.doubanio.com/view/subject/s/public/s34577743.jpg
活着, 20.00元, 2012-8 ,作家出版社,余华 ,9.4,829919,《活着(新版)》讲述了农村人福贵悲惨的人生遭遇。福贵本是个阔少爷，可他嗜赌如命，终于赌光了家业，一贫如洗。他的父亲被他活活气死，母亲则在穷困中患了重病，福贵...,https://img9.doubanio.com/view/subject/s/public/s29869926.jpg
我们八月见, 39.00元, 2024-3-6 ,南海出版公司,[哥伦比亚]加西亚·马尔克斯  侯健 ,7.9,4397,★加西亚·马尔克斯逝世十周年，遗作小说全球同步首发 ★献给命运，献给欲望，献给未被岁月摧磨的欢愉 ★作家晚年改稿五版，与记忆力和死亡角逐、顶风破浪的最后之作...,https://img1.doubanio.com/view/subject/s/public/s34797230.jpg
十八岁出门远行, 45元, 2024-3-7 ,江苏凤凰文艺出版社,余华 ,7.9,3045,一定要出去闯闯，哪怕鼻青脸肿！ ◆余华成名作！ ◆一战成名！一发表就震惊文坛，让27岁的余华开始载入中国当代文学史。 ◆《十八岁出门远行》预告着余华“现象”...,https://img1.doubanio.com/view/subject/s/public/s34804300.jpg
名侦探的献祭 : 人民教会杀人事件, 59.00元, 2023-9 ,九州出版社,[日] 白井智之  吕灵芝 ,7.1,8563,—————————编辑推荐———————————————— 1.改编自震惊世界的“人民圣殿教”惨案，900多人集体自杀背后的真相细思极恐！ 以1978年人民...,https://img9.doubanio.com/view/subject/s/public/s34681654.jpg
秋园, 38.00元, 2020-6 ,北京联合出版公司,杨本芬 ,9.0,105745,听八旬奶奶讲述她和妈妈的故事。 1914年，世上有了“秋园”这个人。1918年，汉语有了“她”这个字。秋园，她来过，挣扎过，绝望过，幸福过。今天，她80岁的...,https://img1.doubanio.com/view/subject/s/public/s33640730.jpg
豆子芝麻茶 : 和妈妈的最后絮叨, 39.8, 2023-10 ,广东人民出版社,杨本芬 ,8.6,13569,《豆子芝麻茶》是杨本芬“看见女性”系列的第四本书，是一本珍贵的平民史歌。 本书分为两部分：“过去的婚姻”和“伤心的极限”。 在讲述过母亲（《秋园》）、乡亲（...,https://img3.doubanio.com/view/subject/s/public/s34669097.jpg
巴别塔, 98.00元, 2023-10 ,中信出版集团,[美] 匡灵秀  陈阳 ,8.1,3441,❤️‍🔥我渴望被世界理解，哪怕徒劳无功 🧙‍♀️27岁华裔女作家匡灵秀斩获科幻界诺奖星云奖，轨迹奖，英国国家图书奖 🪄语言即魔法，翻译即背叛 🎆设定新颖的银...,https://img1.doubanio.com/view/subject/s/public/s34640760.jpg
一句顶一万句, 68.00元, 2022-8 ,花城出版社,刘震云 ,9.0,9632,《一句顶一万句》是著名作家刘震云的扛鼎之作，也是刘震云迄今为止最成熟最大气的作品，并在2011年获第八届茅盾文学奖。 小说分上下两个部分，前半部“出延津记”...,https://img9.doubanio.com/view/subject/s/public/s34289066.jpg
绝叫, 58.00元, 2020-7 ,北京联合出版公司,[日] 叶真中显  林佩瑾 ,8.9,102322,罗翔老师推荐！“这本书深刻地揭示了日本的社会问题，日本40多年来社会变迁的各种缩影。” 豆瓣「2020年度读书榜单」推理·悬疑类top1！ 怀才者的自怜是天...,https://img3.doubanio.com/view/subject/s/public/s33685372.jpg
生死疲劳, 69.90, 2022-1 ,浙江文艺出版社,莫言 ,9.1,38544,◆ 不看不知道，莫言真幽默！在极度痛苦时笑出声来，获得内心深处的解脱。 ◆ 莫言：“诺奖的评委主要是因为读完了《生死疲劳》，才把这个奖项授给了我。” ◆ 不...,https://img1.doubanio.com/view/subject/s/public/s34086258.jpg
悉达多 : 一首印度的诗, 32.00元, 2017-1 ,天津人民出版社,[德] 赫尔曼·黑塞  姜乙 ,9.3,102466,《悉达多》并非是佛陀的故事，它讲述了一个人的一生，千万寻常人亦会经历的一生。 意气风发的少年郎，常认为自己是被命运选中的人。抛下过去，随了跌跌撞撞的步伐，找...,https://img1.doubanio.com/view/subject/s/public/s29396368.jpg
长夜难明 : 双星, 65.00元, 2024-1 ,湖南文艺出版社,紫金陈 ,6.5,2757,闹市街头，女子坠楼身亡，腹部有刀伤。 两天后，一段赵泽宇手持带血匕首逃离案发现场的视频，被人在网上公开。赵泽宇是江北市原市长赵忠悯的独生子，江北知名企业家，...,https://img2.doubanio.com/view/subject/s/public/s34735111.jpg
在细雨中呼喊, 25.00元, 2012-11-1 ,作家出版社,余华 ,8.8,71875,《在细雨中呼喊》是二十世纪九十年代的经典文本，是余华的第一部长篇力作。小说描述了一位江南少年的成长经历和心灵历程。《在细雨中呼喊 》的结构来自于对时间的感受...,https://img3.doubanio.com/view/subject/s/public/s29032782.jpg
六个说谎的大学生, 45.00元, 2023-4 ,四川文艺出版社,[日] 浅仓秋成  王星星 ,7.7,15341,★豆瓣2023年度推理·悬疑图书TOP1。主持人/演员杨迪五星推荐。 ★大学生求职前必看小说。 ★《金色梦乡》作者伊坂幸太郎公开表示：“2021年看过的最好...,https://img9.doubanio.com/view/subject/s/public/s34497205.jpg
三体 : “地球往事”三部曲之一, 23.00, 2008-1 ,重庆出版社,刘慈欣 ,8.9,494933,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的...,https://img1.doubanio.com/view/subject/s/public/s2768378.jpg
疼痛部, 54.00元, 2023-5 ,北京日报出版社,[荷] 杜布拉夫卡·乌格雷西奇  姜昊骞 ,8.7,5039,来自一个已不存在的国家，教授一门四分五裂的语言，我像童话里的龙一样吐出舌头，然后它就分叉了：克罗地亚语、塞尔维亚语、波斯尼亚语、斯洛文尼亚语、马其顿语…… ...,https://img3.doubanio.com/view/subject/s/public/s34518953.jpg
献给阿尔吉侬的花束, 36.00元, 2015-4 ,广西师范大学出版社,[美] 丹尼尔·凯斯  陈澄和 ,9.1,107552,声称能改造智能的科学实验在白老鼠阿尔吉侬身上获得了突破性的进展，下一步急需进行人体实验。个性和善、学习态度积极的心智障碍者查理·高登成为最佳人选。手术成功后...,https://img1.doubanio.com/view/subject/s/public/s28050760.jpg
夜晚的潜水艇, 52.00元, 2020-9 ,上海三联书店,陈春成 ,8.3,70227,★ 《亚洲周刊》2020年度十大小说 ★ 豆瓣读书2020年度中国文学（小说类）Top1 ★ 2021年宝珀理想国文学奖首奖作品 ★ 2020年单向街书店文...,https://img1.doubanio.com/view/subject/s/public/s33718940.jpg
献给阿尔吉侬的花束, 48.00元, 2022-8 ,河南文艺出版社,[美] 丹尼尔·凯斯  陈澄和 ,9.2,19196,【编辑推荐】 ◆豆瓣9.1高分科幻，豆瓣图书Top 250总榜No. 47，豆瓣科幻小说榜Top10，6.6万人评分，10万人想读。Goodreads 4....,https://img3.doubanio.com/view/subject/s/public/s34280647.jpg
百年孤独, 39.50元, 2011-6 ,南海出版公司,[哥伦比亚] 加西亚·马尔克斯  范晔 ,9.3,423827,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。...,https://img1.doubanio.com/view/subject/s/public/s27237850.jpg
一句顶一万句, 29.80, 2009-3 ,长江文艺出版社,刘震云 ,8.8,82220,《一句顶一万句》的故事很简单，小说的前半部写的是过去：孤独无助的吴摩西失去唯一能够“说得上话”的养女，为了寻找，走出延津；小说的后半部写的是现在：吴摩西养女...,https://img1.doubanio.com/view/subject/s/public/s6916838.jpg
三体Ⅱ : 黑暗森林, 32.00, 2008-5 ,重庆出版社,刘慈欣 ,9.3,301117,三体人在利用魔法般的科技锁死了地球人的科学之后，庞大的宇宙舰队杀气腾腾地直扑太阳系，意欲清除地球文明。 面对前所未有的危局，经历过无数磨难的地球人组建起同样...,https://img3.doubanio.com/view/subject/s/public/s3078482.jpg
涅朵奇卡 : 一个女人的一生, 45.00元, 2023-9-1 ,山东文艺出版社,陀思妥耶夫斯基  于大卫 ,8.7,5704,【编辑推荐】 ◆陀思妥耶夫斯基高分神作，全新回归。 ◆王小波读完终生难忘：“我看了这本书，而且终生记住了前半部。我到现在还认为这是一本最好的书，顶得上大部头...,https://img3.doubanio.com/view/subject/s/public/s34632192.jpg
人生海海, 55.00元, 2019-4 ,北京十月文艺出版社,麦家 ,8.0,91349,★豆瓣2019年度书单·中国文学（小说类） 第一名 · “他是全村最出奇古怪的人，古怪的名目要扳着指头一个一个数： 第一，他当过国民党军队的上校，是革命群众...,https://img3.doubanio.com/view/subject/s/public/s32266692.jpg
卡拉马佐夫兄弟, CNY 78.00, 2015-2-1 ,上海译文出版社,陀思妥耶夫斯基 (Ф.М.Достоевский)  荣如德 ,9.6,33496,本书系俄国大作家陀思妥耶夫斯基代表作之一。小说通过一桩真实的弑父案，描写老卡拉马佐夫同三个儿子即两代人之间的尖锐冲突。老卡拉马佐夫贪婪好色，独占妻子留给儿子...,https://img3.doubanio.com/view/subject/s/public/s28383857.jpg
恶意, 39.50元, 2016-11 ,南海出版公司,[日] 东野圭吾  娄美莲 ,8.7,128583,《恶意》是东野圭吾挑战写作极限的长篇杰作，与《白夜行》《嫌疑人X的献身》《解忧杂货店》并称东野圭吾四大杰作。《恶意》深刻揭示人性，故事中无边的恶意深不见底，...,https://img9.doubanio.com/view/subject/s/public/s29827014.jpg
大医·破晓篇, 108.00元, 2022-9 ,上海文艺出版社,马伯庸 ,8.7,12658,《大医·破晓篇》是马伯庸2022年全新长篇历史小说。 挽亡图存、强国保种，这是医者在清末变局中的一声呐喊。 大医若史，以济世之仁心，见证大时代的百年波澜。 ...,https://img9.doubanio.com/view/subject/s/public/s34293555.jpg
消失的13级台阶, 42.00元, 2020-5-15 ,上海文艺出版社,[日] 高野和明  赵建勋 ,8.6,97919,【内容简介】 一对老夫妇惨遭杀害。一切证据都指向树原亮，他却因车祸，恰好丧失了案发前后数小时的记忆…… 死刑执行官南乡携手刚假释出狱的纯一调查，希望替这位丧...,https://img1.doubanio.com/view/subject/s/public/s34070178.jpg
白夜行, 39.50元, 2013-1-1 ,南海出版公司,[日] 东野圭吾  刘姿君 ,9.2,472802,东野圭吾万千书迷心中的无冕之王 周刊文春推理小说年度BEST10第1名 本格推理小说年度BEST10第2名 《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备...,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg
不间断的人, 68元, 2024-2 ,上海三联书店,双雪涛 ,7.9,594,★《猎人》之后，积淀五年，小说家双雪涛全新作品，回到未来世界，攥紧你的心脏。——七个故事装置，探向古老与未来时间，科幻与人心，谋杀与幻想，现实与虚构，s市与...,https://img3.doubanio.com/view/subject/s/public/s34765667.jpg
我的天才女友 : 那不勒斯四部曲1, 42.00元, 2017-1 ,人民文学出版社,[意] 埃莱娜·费兰特  陈英 ,8.7,113638,只有你身为女人才会知道这些丑陋的秘密 两个女人，50年的友谊和战争 过去五年，几乎所有欧美读者都在谈论她、 全球畅销百万册 被翻译成40种语言 《金融时报》...,https://img3.doubanio.com/view/subject/s/public/s29164777.jpg
我该走了吗, 79, 2023-11 ,上海译文出版社,[美] 李翊云  张芸 ,8.0,1369,著名华裔作家李翊云首度授权小说中译本 火焰般的激情，湮没一切的悲痛 人心在这两极之间往返，却又不得不寻找归宿与出口 …… 我不认为我曾抛下我的人物。我不重读...,https://img3.doubanio.com/view/subject/s/public/s34687553.jpg
房思琪的初恋乐园, 45.00元, 2018-2 ,北京联合出版公司,林奕含 ,9.2,377751,令人心碎却无能为力的真实故事。 向死而生的文学绝唱 打动万千读者的年度华语小说。 李银河 戴锦华 骆以军 张悦然 詹宏志 蒋方舟 等多位学者作家社会名人郑...,https://img2.doubanio.com/view/subject/s/public/s29651121.jpg
树上的男爵, 30.00元, 2012-4-1 ,译林出版社,[意大利]伊塔洛·卡尔维诺  吴正仪 ,9.1,59866,在大陆，王小波、苏童、阿城、止庵是他的忠实粉丝 在台湾，朱天文，唐诺是卡尔维诺不余遗力的传播者 在香港，梁文道说他一直在准备谈卡尔维诺，可是一直没准备好 权...,https://img9.doubanio.com/view/subject/s/public/s8968135.jpg
命运, 59.80元, 2022-9-5 ,浙江文艺出版社、广州出版社,蔡崇达 ,9.0,25842,编辑推荐： 继畅销四百万册的非虚构作品《皮囊》之后，睽违八年，蔡崇达携长篇小说新作《命运》重磅归来！ 献给想要改变命运的你：“只要活下去，命运终是赢不了我们...,https://img9.doubanio.com/view/subject/s/public/s34303676.jpg
霍乱时期的爱情, 39.50元, 2012-9-1 ,南海出版公司,[哥伦比亚] 加西亚·马尔克斯  杨玲 ,9.0,284712,★马尔克斯唯一正式授权，首次完整翻译 ★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯 ★这部光芒闪耀、令人心碎的作品是人类有史...,https://img3.doubanio.com/view/subject/s/public/s11284102.jpg
遥远的救世主, 28.00, 2005-05-01 ,作家出版社,豆豆 ,8.6,44800,这是一部可以傲然独尊的长篇小说。也是一部可遇不可求的完美佳作。 豆豆，以她的才华，探索一个有机的、无定形的、陌生的、暧昧的和未曾臻达的世界。男女主人公那浓墨...,https://img3.doubanio.com/view/subject/s/public/s3073167.jpg
东北故事集, 59.00元, 2024-1-22 ,人民文学出版社,迟子建 ,8.2,381,◎茅盾文学奖、鲁迅文学奖得主迟子建全新作品！ ◎描摹自然与人性的风雪，跨越历史与现实的泥淖！ 本书是茅盾文学奖、鲁迅文学奖得主迟子建的全新作品，收录了作家近...,https://img9.doubanio.com/view/subject/s/public/s34752564.jpg
三体Ⅲ : 死神永生, 38.00元, 2010-11 ,重庆出版社,刘慈欣 ,9.2,282116,与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生...,https://img9.doubanio.com/view/subject/s/public/s26012674.jpg
孔雀菩提, 49元, 2023-8 ,新星出版社,焦典 ,7.9,2695,内容简介 《孔雀菩提》是青年作家焦典的首部小说集，由莫言作序，含11个似真似幻的云南雨林故事。 城市与城市的缝隙里，是大片雨林。 一脚踏进去，这里大象轻盈，...,https://img3.doubanio.com/view/subject/s/public/s34606297.jpg
杀死一只知更鸟, 58.00, 2017-2 ,译林出版社,[美] 哈珀·李  李育超 ,9.3,69269,《杀死一只知更鸟》是公认的美国文学经典，而它在教育领域的意义却使其突破了国界，成为世界上最有名的成长小说之一。《杀死一只知更鸟》在西方世界的影响力巨大，是美...,https://img1.doubanio.com/view/subject/s/public/s29214279.jpg
她对此感到厌烦, 54.80元, 2023-4 ,北京联合出版公司,妚鹤 ,9.0,13607,在好友的推荐下，玩家6237486购入了一款名为《女神录》的女性向游戏。 但她没想到，自己会穿进这个游戏中，成为女主莉莉丝。 成功攻略男主后，莉莉丝并没有回...,https://img9.doubanio.com/view/subject/s/public/s34636504.jpg
追风筝的人, 29.00元, 2006-5 ,上海人民出版社,[美] 卡勒德·胡赛尼  李继宏 ,8.9,793490,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟...,https://img1.doubanio.com/view/subject/s/public/s1727290.jpg
圣母, 42.00, 2019-3 ,新星出版社,[日] 秋吉理香子  郑晓蕾 ,8.1,52269,一起男童被害案搅得蓝出市人心惶惶。 好不容易怀孕生产的保奈美抱紧年幼的孩子，立誓要不惜任何代价保护她。 男人是在孩子出生后才成为父亲的，但女人，是从小生命来...,https://img2.doubanio.com/view/subject/s/public/s30021261.jpg
面纱, 32.00元, 2012-05-01 ,重庆出版社,(英)W.萨默塞特·毛姆  阮景林 ,8.8,80343,★同名电影《面纱》小说原著 ★爱、幻灭、生死、背叛、别离 ★毛姆最具争议作品 ★女性精神觉醒经典读本 ★毛姆剖析人性三大力作——《刀锋》《面纱》《人性的枷锁...,https://img9.doubanio.com/view/subject/s/public/s9038826.jpg
局外人, 32元, 2013-8 ,上海译文出版社,(法)阿尔贝·加缪  柳鸣九 ,9.2,62426,阿尔贝•加缪（1913—1960）是法国声名卓著的小说家、散文家和剧作家，“存在主义”文学的大师。1957年因“热情而冷静地阐明了当代向人类良知提出的种种问...,https://img3.doubanio.com/view/subject/s/public/s27003183.jpg
失明症漫记 : 百年诞辰纪念版, 66, 2022-8-27 ,河南文艺出版社,[葡] 若泽·萨拉马戈  范维信 ,9.2,15443,关于《失明症漫记》，萨拉马戈说： 👓可能有人会问，为什么我毫不退缩地写出了一部如此冷酷无情的作品。我的回答如下：我活得很好，可是这个世界却不好。我的小说不过...,https://img3.doubanio.com/view/subject/s/public/s34269503.jpg
尘埃落定, 49.00元, 2020-10 ,浙江文艺出版社,阿来 ,8.8,10184,◎第五届茅盾文学奖获奖作品，畅销数百万册的文学经典 ◎连续获得诺贝尔文学奖提名的重量级作家阿来，茅盾文学奖史上最年轻获奖者 ◎以一个有先知先觉能力的傻子少爷...,https://img9.doubanio.com/view/subject/s/public/s34802556.jpg
公开的秘密, 59.00元, 2024-1 ,北京十月文艺出版社,[加] 艾丽丝·门罗  张洪凌 ,9.0,489,使我们难以忍受的，并非生活的现状， 而是生活的另一种可能。 ✧诺贝尔文学奖得主艾丽丝•门罗野心之作，打造独一无二的门罗宇宙 -获W.H.史密斯文学奖 | 入...,https://img1.doubanio.com/view/subject/s/public/s34728158.jpg
你的夏天还好吗？, 48.00元, 2022-10-15 ,人民文学出版社,[韩国] 金爱烂  薛舟 ,8.8,13765,“韩国八零后天才女作家”金爱烂 第十八届韩戊淑文学奖获奖作品 老舍文学奖得主 文珍 作序《在悬崖尽头抓住热带鱼》 “去看里面八个如热带鱼一样残忍而发光的故事...,https://img3.doubanio.com/view/subject/s/public/s34320463.jpg
六小时后你会死, 59.00元, 2024-1 ,中国友谊出版公司,[日] 高野和明  张静乔 ,7.0,1160,没时间慢慢说了！ 你要被杀了！！！ 日本推理大师 高野和明 颠覆《消失的13级台阶》 设定系推理全新作品！ · 【编辑推荐】 ★《消失的13级台阶》作者、江...,https://img1.doubanio.com/view/subject/s/public/s34745799.jpg
兄弟, 43.00元, 2012-9-1 ,作家出版社,余华 ,8.5,77575,《余华作品:兄弟》是余华作品。《余华作品:兄弟》讲述了这是两个时代相遇以后出生的小说，前一个是文革中的故事，那是一个精神狂热、本能压抑和命运惨烈的时代，相当...,https://img1.doubanio.com/view/subject/s/public/s24936189.jpg
许三观卖血记, 24.00元, 2012-9 ,作家出版社,余华 ,9.2,161964,《许三观卖血记》是余华1995年创作的一部长篇小说。《许三观卖血记》以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述...,https://img1.doubanio.com/view/subject/s/public/s24575140.jpg
我本芬芳, 39.80, 2022-2-1 ,北京联合出版公司,杨本芬 ,8.3,38015,世界看不见我，但我看见我。中国式婚姻里，还有多少看不见的女人？继《秋园》《浮木》后，八旬奶奶讲述六十年婚姻故事，写尽那些无人知晓的伤痛与困惑，带给万千女性共...,https://img3.doubanio.com/view/subject/s/public/s34072342.jpg
面纱, 39.8元, 2016-4-1 ,江西人民出版社,[英] 威廉·萨默塞特·毛姆  于大卫 ,9.0,39019,“那描画的面纱，芸芸众生称之为生活” 凯蒂怎么也琢磨不透，丈夫到底有没有发现她出轨的秘密——偷情时门把手的转动、晚餐时意有所指的话语，还有突然要带她前往霍乱...,https://img9.doubanio.com/view/subject/s/public/s28561075.jpg
动物农场, 22.00元, 2010-9 ,上海译文出版社,[英]乔治·奥威尔  荣如德 ,9.5,54830,《动物农场》是奥威尔最优秀的作品之一，是一则入木三分的反乌托的政治讽喻寓言。农场的一群动物成功地进行了一场“革命”，将压榨他们的人类东家赶出农场，建立起一个...,https://img9.doubanio.com/view/subject/s/public/s4468486.jpg
道德故事集 : 精装珍藏版, 56, 2024-1-18 ,四川文艺出版社,[南非]J.M.库切  远子 ,8.1,897,《道德故事集》是库切短篇小说集，中文版首次引进，共包括《狗》《故事》《虚荣》《女人渐老时》《老妇人与猫》《谎言》《玻璃屠宰场》七个故事。 小说集以母与子、爱...,https://img1.doubanio.com/view/subject/s/public/s34735079.jpg
沧浪之水, 26.00元, 2001-10 ,人民文学出版社,阎真 ,8.4,31307,作者以娓娓而谈的文笔和行云流水般的故事，写出医学研究生池大为空怀壮志、无职无权的苦，时来运转、有名有利的难；在真切地展示他的人生旅程的同时，也把困扰他的人生...,https://img3.doubanio.com/view/subject/s/public/s1077712.jpg
平面国 : 多维空间传奇往事, 39.80元, 2020-8 ,上海文化出版社,[英] 埃德温·A.艾勃特  鲁冬旭 ,9.2,20138,"很难简单概括《平面国》这本书。 它可以是：首次解释""维度""概念的科普读物、脑洞大开的科幻小说、煞有介事的数学童话、剑走偏锋的精神启蒙、辛辣讽喻英国维多利亚时...",https://img1.doubanio.com/view/subject/s/public/s33710398.jpg
白鹿原 : 20周年精装典藏版, 39.00元, 2012-9 ,人民文学出版社,陈忠实 ,9.2,107147,在从清末民初到建国之初的半个世纪里，一阵阵狂风掠过了白鹿原上空，而每一次的变动都震荡着它的内在结构：打乱了再恢复，恢复了再打乱，细腻地反映出白姓和鹿姓两大家...,https://img3.doubanio.com/view/subject/s/public/s34777382.jpg
局外人, 22.00元, 2010-8 ,上海译文出版社,[法] 阿尔贝·加缪  柳鸣九 ,9.1,238929,《局外人》是法国作家加缪的成名作，同时也是存在主义文学的杰出作品之一，该书以一种客观记录式的“零度风格”，粗线条地描述了主人公默尔索在荒谬的世界中经历的种种...,https://img9.doubanio.com/view/subject/s/public/s4468484.jpg
